Date,Region,Product,Salesperson,Units,UnitPrice,Revenue
2025-04-18,North,Smartwatch,Rahul Verma,4,7753,31012
2025-04-18,East,Tablet,Vikram Rao,7,17242,120694
2025-04-18,West,Headphones,Sneha Gupta,4,3429,13716
2025-04-18,North,Monitor,Amit Sharma,2,11886,23772
2025-04-19,West,Laptop,Amit Sharma,3,52704,158112
2025-04-19,West,Monitor,Ananya Iyer,10,12572,125720
2025-04-19,North,Smartwatch,Amit Sharma,4,7769,31076
2025-04-19,West,Tablet,Amit Sharma,2,18331,36662
2025-04-19,East,Smartwatch,Amit Sharma,3,8343,25029
2025-04-20,North,Smartphone,Rahul Verma,7,22943,160601
2025-04-20,East,Smartphone,Sneha Gupta,10,22736,227360
2025-04-20,West,Monitor,Ananya Iyer,7,12306,86142
2025-04-20,South,Monitor,Priya Singh,9,12294,110646
2025-04-21,North,Laptop,Karan Mehta,4,56862,227448
2025-04-21,East,Smartwatch,Karan Mehta,6,7623,45738
2025-04-21,East,Headphones,Divya Nair,4,3449,13796
2025-04-21,West,Headphones,Rahul Verma,10,3556,35560
2025-04-22,East,Smartphone,Priya Singh,2,21489,42978
2025-04-22,West,Monitor,Rahul Verma,7,11780,82460
2025-04-23,North,Laptop,Vikram Rao,8,54229,433832
2025-04-23,East,Laptop,Rahul Verma,2,53280,106560
2025-04-24,West,Laptop,Amit Sharma,2,54196,108392
2025-04-24,North,Smartwatch,Ananya Iyer,7,7609,53263
2025-04-24,West,Headphones,Priya Singh,9,3641,32769
2025-04-24,South,Smartwatch,Rahul Verma,7,7735,54145
2025-04-24,East,Tablet,Vikram Rao,8,17362,138896
2025-04-25,West,Tablet,Karan Mehta,5,17971,89855
2025-04-25,North,Tablet,Vikram Rao,4,18397,73588
2025-04-25,West,Smartwatch,Sneha Gupta,8,7685,61480
2025-04-26,North,Headphones,Ananya Iyer,10,3457,34570
2025-04-26,East,Headphones,Ananya Iyer,7,3610,25270
2025-04-26,South,Tablet,Ananya Iyer,10,18805,188050
2025-04-26,South,Headphones,Ananya Iyer,3,3662,10986
2025-04-27,East,Monitor,Divya Nair,10,12338,123380
2025-04-27,East,Headphones,Vikram Rao,7,3452,24164
2025-04-27,South,Smartwatch,Rahul Verma,9,7621,68589
2025-04-27,West,Monitor,Sneha Gupta,8,12357,98856
2025-04-28,West,Monitor,Divya Nair,3,12160,36480
2025-04-28,South,Tablet,Rahul Verma,7,18520,129640
2025-04-29,West,Smartwatch,Divya Nair,10,7920,79200
2025-04-29,West,Smartwatch,Amit Sharma,6,8161,48966
2025-04-30,North,Laptop,Sneha Gupta,6,53164,318984
2025-04-30,North,Smartwatch,Karan Mehta,6,8372,50232
2025-04-30,West,Laptop,Amit Sharma,2,53673,107346
2025-04-30,South,Headphones,Ananya Iyer,7,3487,24409
2025-04-30,South,Tablet,Amit Sharma,8,17288,138304
2025-04-30,West,Laptop,Priya Singh,3,54165,162495
2025-05-01,West,Smartphone,Divya Nair,6,21947,131682
2025-05-01,West,Monitor,Divya Nair,6,11480,68880
2025-05-01,North,Monitor,Priya Singh,1,12419,12419
2025-05-01,North,Monitor,Rahul Verma,4,12019,48076
2025-05-02,South,Tablet,Karan Mehta,8,17517,140136
2025-05-02,West,Monitor,Rahul Verma,3,12168,36504
2025-05-02,West,Headphones,Amit Sharma,10,3634,36340
2025-05-02,West,Smartwatch,Karan Mehta,7,7603,53221
2025-05-02,South,Smartphone,Vikram Rao,2,22170,44340
2025-05-02,South,Tablet,Ananya Iyer,4,17923,71692
2025-05-03,West,Smartwatch,Ananya Iyer,10,7910,79100
2025-05-03,West,Smartwatch,Priya Singh,6,7881,47286
2025-05-03,West,Smartwatch,Rahul Verma,5,8334,41670
2025-05-03,North,Monitor,Rahul Verma,6,11541,69246
2025-05-04,North,Smartphone,Ananya Iyer,3,22023,66069
2025-05-04,West,Smartwatch,Rahul Verma,10,7906,79060
2025-05-04,South,Headphones,Rahul Verma,9,3383,30447
2025-05-04,East,Smartphone,Rahul Verma,6,22752,136512
2025-05-05,North,Tablet,Amit Sharma,8,17345,138760
2025-05-05,West,Smartwatch,Divya Nair,7,8147,57029
2025-05-05,West,Monitor,Divya Nair,8,11600,92800
2025-05-05,North,Smartphone,Vikram Rao,1,21504,21504
2025-05-05,East,Smartphone,Divya Nair,10,22533,225330
2025-05-05,West,Smartwatch,Priya Singh,10,7691,76910
2025-05-06,East,Smartwatch,Amit Sharma,8,8037,64296
2025-05-06,West,Laptop,Sneha Gupta,5,57061,285305
2025-05-06,North,Headphones,Vikram Rao,6,3626,21756
2025-05-06,North,Headphones,Priya Singh,4,3398,13592
2025-05-06,East,Monitor,Karan Mehta,3,12139,36417
2025-05-06,South,Smartphone,Amit Sharma,10,21671,216710
2025-05-07,South,Tablet,Vikram Rao,5,18130,90650
2025-05-07,North,Smartphone,Karan Mehta,1,23083,23083
2025-05-07,South,Monitor,Rahul Verma,4,11575,46300
2025-05-07,East,Smartphone,Karan Mehta,8,21212,169696
2025-05-08,West,Headphones,Divya Nair,2,3546,7092
2025-05-08,North,Headphones,Vikram Rao,6,3484,20904
2025-05-08,West,Tablet,Amit Sharma,2,18415,36830
2025-05-08,West,Monitor,Ananya Iyer,2,12354,24708
2025-05-09,South,Headphones,Sneha Gupta,8,3418,27344
2025-05-09,East,Tablet,Rahul Verma,10,18634,186340
2025-05-09,East,Monitor,Amit Sharma,1,11519,11519
2025-05-09,West,Laptop,Priya Singh,3,54677,164031
2025-05-09,North,Headphones,Sneha Gupta,3,3633,10899
2025-05-10,South,Tablet,Priya Singh,6,17550,105300
2025-05-10,East,Monitor,Rahul Verma,1,11875,11875
2025-05-10,East,Monitor,Sneha Gupta,7,12186,85302
2025-05-10,North,Laptop,Sneha Gupta,8,52678,421424
2025-05-11,South,Smartwatch,Divya Nair,1,7606,7606
2025-05-11,East,Laptop,Karan Mehta,3,54877,164631
2025-05-11,South,Headphones,Priya Singh,2,3361,6722
2025-05-11,East,Tablet,Rahul Verma,7,18492,129444
2025-05-11,South,Monitor,Rahul Verma,2,12036,24072
2025-05-11,North,Smartwatch,Rahul Verma,8,7880,63040
2025-05-12,South,Headphones,Divya Nair,4,3355,13420
2025-05-12,North,Smartphone,Priya Singh,10,22506,225060
2025-05-12,East,Headphones,Ananya Iyer,3,3411,10233
2025-05-13,South,Smartwatch,Vikram Rao,1,8278,8278
2025-05-13,East,Smartphone,Sneha Gupta,7,21550,150850
2025-05-14,South,Headphones,Karan Mehta,2,3409,6818
2025-05-14,North,Smartwatch,Amit Sharma,6,8347,50082
2025-05-15,West,Smartwatch,Karan Mehta,6,8037,48222
2025-05-15,South,Headphones,Priya Singh,1,3530,3530
2025-05-15,North,Tablet,Sneha Gupta,1,18760,18760
2025-05-16,East,Monitor,Karan Mehta,7,12242,85694
2025-05-16,North,Monitor,Rahul Verma,5,11500,57500
2025-05-16,North,Smartwatch,Sneha Gupta,3,8029,24087
2025-05-16,West,Smartwatch,Priya Singh,5,8158,40790
2025-05-16,South,Laptop,Sneha Gupta,2,57335,114670
2025-05-17,West,Smartwatch,Amit Sharma,5,8132,40660
2025-05-17,South,Laptop,Amit Sharma,3,56108,168324
2025-05-18,West,Tablet,Vikram Rao,3,17769,53307
2025-05-18,East,Monitor,Priya Singh,1,11802,11802
2025-05-18,West,Tablet,Priya Singh,5,18382,91910
2025-05-19,North,Headphones,Divya Nair,9,3451,31059
2025-05-19,West,Smartwatch,Rahul Verma,6,7725,46350
2025-05-19,North,Smartwatch,Priya Singh,4,8192,32768
2025-05-19,North,Laptop,Amit Sharma,4,52502,210008
2025-05-19,East,Headphones,Rahul Verma,3,3650,10950
2025-05-19,North,Smartwatch,Karan Mehta,4,7857,31428
2025-05-20,East,Tablet,Priya Singh,10,17771,177710
2025-05-20,North,Smartphone,Sneha Gupta,9,23059,207531
2025-05-20,West,Laptop,Divya Nair,5,56504,282520
2025-05-20,East,Tablet,Priya Singh,9,17922,161298
2025-05-20,East,Smartphone,Vikram Rao,10,22625,226250
2025-05-21,South,Headphones,Ananya Iyer,10,3665,36650
2025-05-21,South,Monitor,Sneha Gupta,3,11407,34221
2025-05-21,West,Laptop,Sneha Gupta,9,54155,487395
2025-05-21,North,Tablet,Amit Sharma,7,18628,130396
2025-05-21,East,Laptop,Sneha Gupta,9,57657,518913
2025-05-21,West,Headphones,Amit Sharma,3,3574,10722
2025-05-22,North,Smartphone,Karan Mehta,6,21908,131448
2025-05-22,North,Smartwatch,Priya Singh,9,7706,69354
2025-05-23,North,Smartwatch,Amit Sharma,7,8129,56903
2025-05-23,South,Smartphone,Vikram Rao,5,22772,113860
2025-05-23,West,Monitor,Ananya Iyer,6,11943,71658
2025-05-23,South,Laptop,Sneha Gupta,3,56539,169617
2025-05-23,North,Smartphone,Priya Singh,3,21889,65667
2025-05-24,West,Laptop,Ananya Iyer,4,54735,218940
2025-05-24,West,Tablet,Priya Singh,2,17383,34766
2025-05-24,East,Monitor,Amit Sharma,4,12403,49612
2025-05-24,East,Smartphone,Priya Singh,4,23030,92120
2025-05-25,North,Monitor,Vikram Rao,5,12384,61920
2025-05-25,South,Laptop,Karan Mehta,8,55307,442456
2025-05-25,South,Laptop,Divya Nair,2,56671,113342
2025-05-25,South,Laptop,Amit Sharma,1,56817,56817
2025-05-25,South,Smartphone,Sneha Gupta,7,21718,152026
2025-05-26,East,Laptop,Amit Sharma,2,53337,106674
2025-05-26,West,Smartphone,Priya Singh,6,21169,127014
2025-05-27,North,Smartphone,Karan Mehta,7,21991,153937
2025-05-27,West,Monitor,Karan Mehta,3,11824,35472
2025-05-27,South,Tablet,Vikram Rao,8,18690,149520
2025-05-27,North,Smartwatch,Sneha Gupta,5,7999,39995
2025-05-27,West,Laptop,Priya Singh,5,54356,271780
2025-05-28,South,Monitor,Sneha Gupta,9,12353,111177
2025-05-28,West,Monitor,Ananya Iyer,8,12053,96424
2025-05-28,West,Tablet,Ananya Iyer,7,17586,123102
2025-05-28,North,Tablet,Sneha Gupta,1,18712,18712
2025-05-28,East,Laptop,Divya Nair,9,54215,487935
2025-05-29,South,Smartphone,Priya Singh,4,22345,89380
2025-05-29,East,Smartwatch,Amit Sharma,4,8060,32240
2025-05-29,West,Tablet,Rahul Verma,3,17525,52575
2025-05-29,East,Monitor,Ananya Iyer,10,11433,114330
2025-05-29,East,Smartwatch,Rahul Verma,10,8358,83580
2025-05-29,West,Smartwatch,Vikram Rao,3,7992,23976
2025-05-30,North,Smartphone,Sneha Gupta,1,22058,22058
2025-05-30,North,Tablet,Sneha Gupta,3,17713,53139
2025-05-31,East,Laptop,Amit Sharma,3,55476,166428
2025-05-31,South,Laptop,Ananya Iyer,2,54304,108608
2025-05-31,West,Smartwatch,Priya Singh,6,7841,47046
2025-06-01,South,Monitor,Karan Mehta,8,12179,97432
2025-06-01,South,Monitor,Ananya Iyer,4,12198,48792
2025-06-01,South,Headphones,Vikram Rao,5,3369,16845
2025-06-02,West,Smartwatch,Amit Sharma,3,8081,24243
2025-06-02,South,Monitor,Priya Singh,8,11568,92544
2025-06-03,South,Tablet,Ananya Iyer,3,18245,54735
2025-06-03,North,Monitor,Ananya Iyer,8,11413,91304
2025-06-04,South,Monitor,Priya Singh,6,11707,70242
2025-06-04,North,Monitor,Amit Sharma,1,11863,11863
2025-06-04,West,Smartphone,Karan Mehta,8,22839,182712
2025-06-05,West,Laptop,Divya Nair,10,55830,558300
2025-06-05,South,Smartphone,Divya Nair,2,22658,45316
2025-06-05,North,Tablet,Amit Sharma,6,17570,105420
2025-06-05,North,Laptop,Ananya Iyer,3,57133,171399
2025-06-06,North,Smartwatch,Priya Singh,6,8075,48450
2025-06-06,West,Monitor,Amit Sharma,7,12530,87710
2025-06-06,South,Smartwatch,Karan Mehta,3,7642,22926
2025-06-07,South,Smartphone,Karan Mehta,9,22488,202392
2025-06-07,East,Monitor,Vikram Rao,5,11685,58425
2025-06-07,North,Headphones,Divya Nair,3,3344,10032
2025-06-07,North,Headphones,Priya Singh,5,3613,18065
2025-06-08,West,Smartphone,Priya Singh,1,21355,21355
2025-06-08,East,Laptop,Divya Nair,2,53945,107890
2025-06-08,West,Headphones,Divya Nair,5,3356,16780
2025-06-08,West,Smartphone,Ananya Iyer,7,21712,151984
2025-06-08,West,Laptop,Vikram Rao,8,54807,438456
2025-06-08,South,Tablet,Amit Sharma,3,18454,55362
2025-06-09,North,Monitor,Ananya Iyer,9,11896,107064
2025-06-09,South,Smartwatch,Amit Sharma,7,8254,57778
2025-06-10,West,Smartwatch,Sneha Gupta,8,7839,62712
2025-06-10,West,Monitor,Amit Sharma,9,12085,108765
2025-06-10,South,Laptop,Divya Nair,3,57469,172407
2025-06-10,South,Smartphone,Sneha Gupta,3,20993,62979
2025-06-10,North,Monitor,Karan Mehta,4,12596,50384
2025-06-11,East,Tablet,Priya Singh,2,17798,35596
2025-06-11,West,Smartwatch,Ananya Iyer,5,8015,40075
2025-06-11,North,Monitor,Karan Mehta,2,11897,23794
2025-06-12,North,Laptop,Priya Singh,5,57021,285105
2025-06-12,East,Headphones,Vikram Rao,7,3554,24878
2025-06-12,West,Laptop,Rahul Verma,5,54466,272330
2025-06-13,West,Laptop,Karan Mehta,6,56047,336282
2025-06-13,North,Monitor,Divya Nair,5,12476,62380
2025-06-13,North,Tablet,Vikram Rao,5,17604,88020
2025-06-13,West,Monitor,Priya Singh,4,11561,46244
2025-06-13,West,Tablet,Vikram Rao,7,18188,127316
2025-06-13,North,Smartphone,Divya Nair,4,22909,91636
2025-06-14,West,Smartwatch,Ananya Iyer,1,8012,8012
2025-06-14,South,Laptop,Vikram Rao,9,54468,490212
2025-06-14,North,Smartphone,Sneha Gupta,4,22741,90964
2025-06-14,South,Laptop,Divya Nair,1,57299,57299
2025-06-14,South,Tablet,Ananya Iyer,8,18009,144072
2025-06-15,North,Smartphone,Ananya Iyer,8,22206,177648
2025-06-15,South,Headphones,Ananya Iyer,6,3382,20292
2025-06-16,North,Tablet,Amit Sharma,7,17189,120323
2025-06-16,South,Smartphone,Sneha Gupta,4,21491,85964
2025-06-16,West,Smartwatch,Amit Sharma,1,7979,7979
2025-06-16,South,Monitor,Rahul Verma,10,12361,123610
2025-06-17,East,Smartwatch,Vikram Rao,5,7939,39695
2025-06-17,West,Tablet,Divya Nair,5,17492,87460
2025-06-17,East,Monitor,Karan Mehta,10,11522,115220
2025-06-18,East,Smartwatch,Vikram Rao,5,8147,40735
2025-06-18,West,Laptop,Ananya Iyer,5,55773,278865
2025-06-18,East,Tablet,Vikram Rao,4,17369,69476
2025-06-18,South,Laptop,Karan Mehta,6,55994,335964
2025-06-18,North,Monitor,Divya Nair,5,11711,58555
2025-06-18,West,Headphones,Karan Mehta,1,3529,3529
2025-06-19,South,Tablet,Sneha Gupta,9,18248,164232
2025-06-19,West,Monitor,Ananya Iyer,9,11760,105840
2025-06-19,South,Monitor,Rahul Verma,5,11517,57585
2025-06-19,South,Monitor,Vikram Rao,9,12315,110835
2025-06-19,South,Monitor,Ananya Iyer,2,11666,23332
2025-06-19,South,Monitor,Vikram Rao,7,12345,86415
2025-06-20,East,Tablet,Vikram Rao,8,18632,149056
2025-06-20,West,Laptop,Priya Singh,8,57141,457128
2025-06-20,North,Monitor,Karan Mehta,9,11758,105822
2025-06-20,North,Smartphone,Rahul Verma,4,21653,86612
2025-06-21,West,Smartphone,Ananya Iyer,3,22613,67839
2025-06-21,West,Tablet,Rahul Verma,6,18242,109452
2025-06-21,North,Headphones,Vikram Rao,4,3591,14364
2025-06-21,South,Smartwatch,Rahul Verma,8,8228,65824
2025-06-21,North,Smartphone,Karan Mehta,7,21787,152509
2025-06-21,West,Headphones,Amit Sharma,1,3511,3511
2025-06-22,North,Tablet,Sneha Gupta,1,18318,18318
2025-06-22,South,Smartphone,Ananya Iyer,5,21183,105915
2025-06-22,West,Smartwatch,Vikram Rao,3,7652,22956
2025-06-22,North,Tablet,Vikram Rao,8,18410,147280
2025-06-23,East,Headphones,Rahul Verma,6,3673,22038
2025-06-23,West,Tablet,Sneha Gupta,3,18806,56418
2025-06-23,West,Laptop,Sneha Gupta,4,56249,224996
2025-06-23,South,Smartphone,Amit Sharma,10,22010,220100
2025-06-23,North,Tablet,Amit Sharma,7,18677,130739
2025-06-23,East,Smartwatch,Amit Sharma,10,8395,83950
2025-06-24,North,Laptop,Priya Singh,7,54693,382851
2025-06-24,North,Smartwatch,Vikram Rao,8,8161,65288
2025-06-25,North,Tablet,Karan Mehta,2,18292,36584
2025-06-25,East,Smartwatch,Rahul Verma,7,8264,57848
2025-06-25,North,Smartwatch,Priya Singh,5,7691,38455
2025-06-26,West,Smartphone,Sneha Gupta,5,22729,113645
2025-06-26,South,Tablet,Karan Mehta,5,17388,86940
2025-06-27,West,Smartphone,Divya Nair,6,21415,128490
2025-06-27,North,Monitor,Priya Singh,2,12402,24804
2025-06-27,West,Smartphone,Priya Singh,9,21065,189585
2025-06-27,North,Tablet,Sneha Gupta,8,18879,151032
2025-06-27,East,Tablet,Divya Nair,1,17279,17279
2025-06-27,South,Laptop,Vikram Rao,6,56658,339948
2025-06-28,West,Monitor,Priya Singh,2,12421,24842
2025-06-28,North,Laptop,Rahul Verma,3,54057,162171
2025-06-28,West,Smartwatch,Vikram Rao,2,7898,15796
2025-06-28,East,Smartphone,Priya Singh,7,21780,152460
2025-06-29,East,Headphones,Divya Nair,7,3552,24864
2025-06-29,South,Laptop,Rahul Verma,1,57648,57648
2025-06-29,South,Laptop,Karan Mehta,10,54904,549040
2025-06-29,West,Smartphone,Karan Mehta,6,22244,133464
2025-06-29,South,Headphones,Divya Nair,2,3635,7270
2025-06-30,North,Laptop,Vikram Rao,6,52317,313902
2025-06-30,South,Monitor,Ananya Iyer,9,12027,108243
2025-06-30,North,Headphones,Sneha Gupta,8,3446,27568
2025-06-30,West,Smartphone,Amit Sharma,1,22315,22315
2025-06-30,South,Smartwatch,Divya Nair,8,8295,66360
2025-07-01,West,Tablet,Sneha Gupta,6,18846,113076
2025-07-01,North,Smartwatch,Sneha Gupta,9,8114,73026
2025-07-02,South,Laptop,Divya Nair,8,56656,453248
2025-07-02,West,Laptop,Divya Nair,8,53988,431904
2025-07-02,West,Monitor,Amit Sharma,2,11884,23768
2025-07-02,North,Smartwatch,Amit Sharma,2,8233,16466
2025-07-02,East,Smartwatch,Sneha Gupta,8,8360,66880
2025-07-03,North,Smartphone,Divya Nair,6,22132,132792
2025-07-03,West,Monitor,Ananya Iyer,8,11536,92288
2025-07-03,South,Laptop,Ananya Iyer,6,56814,340884
2025-07-03,East,Smartwatch,Ananya Iyer,2,7636,15272
2025-07-04,West,Smartphone,Karan Mehta,2,21459,42918
2025-07-04,South,Smartphone,Priya Singh,7,21374,149618
2025-07-04,South,Monitor,Ananya Iyer,2,12308,24616
2025-07-05,North,Headphones,Divya Nair,10,3659,36590
2025-07-05,South,Headphones,Amit Sharma,9,3582,32238
2025-07-06,West,Smartwatch,Divya Nair,9,8224,74016
2025-07-06,South,Monitor,Rahul Verma,3,11524,34572
2025-07-06,East,Smartwatch,Karan Mehta,7,8383,58681
2025-07-06,South,Tablet,Karan Mehta,6,18846,113076
2025-07-06,West,Smartphone,Rahul Verma,7,22225,155575
2025-07-06,East,Monitor,Ananya Iyer,9,12159,109431
2025-07-07,South,Smartwatch,Vikram Rao,6,8336,50016
2025-07-07,South,Monitor,Rahul Verma,9,12050,108450
2025-07-07,East,Monitor,Priya Singh,6,12074,72444
2025-07-08,West,Monitor,Vikram Rao,7,12369,86583
2025-07-08,North,Laptop,Karan Mehta,3,52541,157623
2025-07-08,North,Smartphone,Vikram Rao,3,23063,69189
2025-07-08,East,Smartphone,Amit Sharma,5,21348,106740
2025-07-08,North,Tablet,Divya Nair,2,18208,36416
2025-07-08,South,Monitor,Karan Mehta,4,12013,48052
2025-07-09,North,Headphones,Karan Mehta,7,3659,25613
2025-07-09,East,Smartwatch,Amit Sharma,1,8194,8194
2025-07-09,South,Smartwatch,Divya Nair,4,8329,33316
2025-07-09,East,Smartwatch,Sneha Gupta,4,7835,31340
2025-07-10,North,Smartphone,Rahul Verma,9,21162,190458
2025-07-10,North,Headphones,Vikram Rao,9,3417,30753
2025-07-10,South,Smartwatch,Vikram Rao,1,7864,7864
2025-07-11,North,Smartphone,Ananya Iyer,10,21011,210110
2025-07-11,East,Headphones,Ananya Iyer,2,3599,7198
2025-07-11,East,Smartwatch,Sneha Gupta,3,8016,24048
2025-07-12,South,Headphones,Karan Mehta,2,3447,6894
2025-07-12,South,Monitor,Ananya Iyer,6,11832,70992
2025-07-12,South,Smartwatch,Divya Nair,9,8258,74322
2025-07-12,North,Laptop,Ananya Iyer,8,53571,428568
2025-07-12,South,Laptop,Ananya Iyer,7,57287,401009
2025-07-12,North,Headphones,Vikram Rao,9,3578,32202
2025-07-13,East,Smartwatch,Divya Nair,8,7635,61080
2025-07-13,South,Tablet,Priya Singh,2,17401,34802
2025-07-14,North,Monitor,Priya Singh,4,12204,48816
2025-07-14,South,Monitor,Karan Mehta,2,11646,23292
2025-07-14,West,Monitor,Priya Singh,3,11428,34284
2025-07-14,East,Laptop,Priya Singh,2,52548,105096
2025-07-14,East,Smartwatch,Priya Singh,10,8257,82570
2025-07-14,East,Headphones,Karan Mehta,8,3545,28360
2025-07-15,East,Laptop,Karan Mehta,2,55191,110382
2025-07-15,North,Monitor,Amit Sharma,2,11829,23658
2025-07-15,North,Tablet,Vikram Rao,10,17255,172550
2025-07-15,West,Headphones,Karan Mehta,1,3490,3490
2025-07-15,South,Smartphone,Karan Mehta,9,21548,193932
2025-07-16,East,Monitor,Ananya Iyer,1,12064,12064
2025-07-16,South,Laptop,Amit Sharma,1,55399,55399
2025-07-16,West,Smartwatch,Priya Singh,5,7768,38840
2025-07-17,South,Headphones,Rahul Verma,3,3389,10167
2025-07-17,East,Smartphone,Priya Singh,3,22376,67128
2025-07-17,North,Smartwatch,Divya Nair,9,7658,68922
2025-07-17,North,Tablet,Priya Singh,4,18406,73624
2025-07-18,East,Tablet,Rahul Verma,4,17280,69120
2025-07-18,North,Smartphone,Ananya Iyer,8,21891,175128
2025-07-18,East,Monitor,Rahul Verma,10,12080,120800
2025-07-18,East,Headphones,Rahul Verma,1,3434,3434
2025-07-18,South,Monitor,Karan Mehta,5,12408,62040
2025-07-19,East,Headphones,Divya Nair,8,3450,27600
2025-07-19,East,Headphones,Priya Singh,3,3550,10650
2025-07-19,North,Tablet,Rahul Verma,9,17453,157077
2025-07-20,North,Laptop,Amit Sharma,10,55433,554330
2025-07-20,South,Laptop,Vikram Rao,9,57166,514494
2025-07-21,West,Monitor,Rahul Verma,6,11870,71220
2025-07-21,East,Smartphone,Divya Nair,9,22022,198198
2025-07-21,West,Tablet,Amit Sharma,4,18626,74504
2025-07-21,South,Smartwatch,Rahul Verma,8,7727,61816
2025-07-21,South,Monitor,Divya Nair,6,11448,68688
2025-07-21,West,Smartphone,Priya Singh,5,21712,108560
2025-07-22,South,Smartwatch,Ananya Iyer,7,7975,55825
2025-07-22,West,Laptop,Amit Sharma,6,52817,316902
2025-07-23,East,Monitor,Vikram Rao,10,12053,120530
2025-07-23,South,Headphones,Karan Mehta,6,3530,21180
2025-07-23,North,Smartwatch,Vikram Rao,7,8378,58646
2025-07-23,South,Smartwatch,Karan Mehta,6,8253,49518
2025-07-23,East,Headphones,Divya Nair,10,3327,33270
2025-07-23,South,Headphones,Rahul Verma,4,3351,13404
2025-07-24,South,Smartphone,Rahul Verma,3,21696,65088
2025-07-24,North,Monitor,Sneha Gupta,7,12373,86611
2025-07-24,North,Headphones,Divya Nair,8,3398,27184
2025-07-24,South,Monitor,Karan Mehta,1,11692,11692
2025-07-25,South,Smartphone,Amit Sharma,10,21223,212230
2025-07-25,South,Tablet,Rahul Verma,9,18824,169416
2025-07-25,North,Monitor,Vikram Rao,2,11659,23318
2025-07-26,West,Headphones,Rahul Verma,4,3615,14460
2025-07-26,South,Smartwatch,Rahul Verma,10,8127,81270
2025-07-26,East,Smartphone,Ananya Iyer,8,22212,177696
2025-07-26,North,Smartphone,Karan Mehta,7,21190,148330
2025-07-26,North,Smartphone,Karan Mehta,3,22232,66696
2025-07-26,South,Headphones,Amit Sharma,9,3501,31509
2025-07-27,North,Headphones,Rahul Verma,10,3513,35130
2025-07-27,North,Monitor,Karan Mehta,9,11904,107136
2025-07-28,West,Smartphone,Divya Nair,7,21671,151697
2025-07-28,North,Headphones,Rahul Verma,5,3491,17455
2025-07-29,North,Tablet,Karan Mehta,5,17440,87200
2025-07-29,North,Smartwatch,Priya Singh,9,7605,68445
2025-07-29,South,Monitor,Ananya Iyer,7,11834,82838
2025-07-30,West,Monitor,Vikram Rao,5,12425,62125
2025-07-30,West,Smartwatch,Ananya Iyer,10,7820,78200
2025-07-30,West,Smartphone,Karan Mehta,9,22624,203616
2025-07-31,South,Tablet,Divya Nair,5,18879,94395
2025-07-31,East,Monitor,Karan Mehta,3,12425,37275
2025-07-31,North,Monitor,Sneha Gupta,8,12339,98712
2025-07-31,South,Laptop,Sneha Gupta,9,54453,490077
2025-07-31,East,Smartwatch,Amit Sharma,3,7911,23733
2025-08-01,North,Smartphone,Divya Nair,10,21857,218570
2025-08-01,North,Tablet,Sneha Gupta,6,17244,103464
2025-08-02,West,Headphones,Vikram Rao,10,3345,33450
2025-08-02,South,Monitor,Divya Nair,8,11412,91296
2025-08-03,East,Smartphone,Amit Sharma,10,22023,220230
2025-08-03,South,Smartwatch,Rahul Verma,1,7887,7887
2025-08-03,North,Smartphone,Priya Singh,5,22615,113075
2025-08-03,East,Monitor,Karan Mehta,7,12103,84721
2025-08-03,North,Monitor,Priya Singh,2,12059,24118
2025-08-03,East,Tablet,Vikram Rao,4,18191,72764
2025-08-04,West,Headphones,Amit Sharma,5,3386,16930
2025-08-04,North,Smartwatch,Priya Singh,9,7835,70515
2025-08-04,North,Smartwatch,Vikram Rao,9,8250,74250
2025-08-05,East,Monitor,Divya Nair,7,12075,84525
2025-08-05,South,Tablet,Divya Nair,8,18713,149704
2025-08-05,North,Headphones,Priya Singh,5,3348,16740
2025-08-05,South,Monitor,Sneha Gupta,6,11894,71364
2025-08-05,East,Smartwatch,Amit Sharma,5,7798,38990
2025-08-05,North,Headphones,Ananya Iyer,2,3519,7038
2025-08-06,West,Tablet,Ananya Iyer,4,18709,74836
2025-08-06,East,Smartphone,Sneha Gupta,8,22521,180168
2025-08-06,South,Monitor,Sneha Gupta,5,11648,58240
2025-08-07,South,Smartwatch,Ananya Iyer,3,8223,24669
2025-08-07,North,Laptop,Divya Nair,10,52286,522860
2025-08-07,North,Headphones,Ananya Iyer,10,3435,34350
2025-08-08,East,Headphones,Rahul Verma,9,3423,30807
2025-08-08,South,Smartwatch,Rahul Verma,1,8020,8020
2025-08-08,West,Headphones,Amit Sharma,9,3446,31014
2025-08-08,South,Headphones,Priya Singh,9,3486,31374
2025-08-08,North,Laptop,Sneha Gupta,7,55445,388115
2025-08-08,East,Tablet,Vikram Rao,3,18087,54261
2025-08-09,East,Headphones,Ananya Iyer,6,3389,20334
2025-08-09,West,Smartphone,Karan Mehta,6,21703,130218
2025-08-09,West,Tablet,Divya Nair,3,18128,54384
2025-08-10,South,Laptop,Vikram Rao,4,55304,221216
2025-08-10,West,Smartphone,Rahul Verma,3,21940,65820
2025-08-10,North,Smartphone,Karan Mehta,8,21195,169560
2025-08-10,East,Headphones,Vikram Rao,5,3521,17605
2025-08-10,North,Headphones,Priya Singh,3,3346,10038
2025-08-10,East,Headphones,Priya Singh,8,3585,28680
2025-08-11,East,Tablet,Vikram Rao,6,17135,102810
2025-08-11,North,Tablet,Sneha Gupta,10,18136,181360
2025-08-11,South,Tablet,Ananya Iyer,6,18311,109866
